year,state,state_po,district,dem_share,rep_share,margin,winner,margin_abs,competitive,district_id
2012,ALABAMA,AL,2,0.3630600838871222,0.6359890545266295,0.2729289706395073,R,0.2729289706395073,False,AL-02
2012,ALABAMA,AL,3,0.3582703610411419,0.6399664147774979,0.28169605373635603,R,0.28169605373635603,False,AL-03
2012,ALABAMA,AL,4,0.2590164909073343,0.7397164069293024,0.4806999160219681,R,0.4806999160219681,False,AL-04
2012,ALABAMA,AL,5,0.3493801773472071,0.6494663448829873,0.30008616753578016,R,0.30008616753578016,False,AL-05
2012,ALABAMA,AL,6,0.2864862935002045,0.7116539327884921,0.4251676392882876,R,0.4251676392882876,False,AL-06
2012,ALABAMA,AL,7,0.7584861592259866,0.24085164960627353,-0.517634509619713,D,0.517634509619713,False,AL-07
2012,ALASKA,AK,1,0.2861485693779244,0.6393838594360326,0.3532352900581082,R,0.3532352900581082,False,AK-01
2012,ARIZONA,AZ,1,0.4879826705618156,0.4514954589717602,-0.03648721159005541,D,0.03648721159005541,True,AZ-01
2012,ARIZONA,AZ,2,0.5041005340787398,0.4957044467785917,-0.00839608730014807,D,0.00839608730014807,True,AZ-02
2012,ARIZONA,AZ,3,0.5836939382802404,0.37145075815955136,-0.21224318012068905,D,0.21224318012068905,False,AZ-03
2012,ARIZONA,AZ,4,0.283697079094191,0.6683089924515917,0.3846119133574007,R,0.3846119133574007,False,AZ-04
2012,ARIZONA,AZ,5,0.3280939284184004,0.6719060715815995,0.34381214316319914,R,0.34381214316319914,False,AZ-05
2012,ARIZONA,AZ,6,0.33312981577681744,0.6129607711382543,0.2798309553614369,R,0.2798309553614369,False,AZ-06
2012,ARIZONA,AZ,8,0.3505797478655821,0.6334849756773501,0.28290522781176797,R,0.28290522781176797,False,AZ-08
2012,ARIZONA,AZ,9,0.48726867121628265,0.4462861460594648,-0.04098252515681783,D,0.04098252515681783,True,AZ-09
2012,ARKANSAS,AR,1,0.3913459162301544,0.5623007336647181,0.1709548174345637,R,0.1709548174345637,False,AR-01
2012,ARKANSAS,AR,2,0.39482480687234384,0.5519054564232828,0.15708064955093898,R,0.15708064955093898,False,AR-02
2012,ARKANSAS,AR,4,0.3669121423578796,0.5952779075739613,0.22836576521608165,R,0.22836576521608165,False,AR-04
2012,CALIFORNIA,CA,1,0.42617423431323564,0.5738257656867644,0.1476515313735287,R,0.1476515313735287,False,CA-01
2012,CALIFORNIA,CA,2,0.7124329976127939,0.28756700238720606,-0.4248659952255878,D,0.4248659952255878,False,CA-02
2012,CALIFORNIA,CA,3,0.5423049305887985,0.4576950694112015,-0.08460986117759695,D,0.08460986117759695,True,CA-03
2012,CALIFORNIA,CA,4,0.38890845505548555,0.6110915449445145,0.2221830898890289,R,0.2221830898890289,False,CA-04
